,Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
7295,RevFin,4.3,146,267,20,9,1
7296,Linedata,3.0,146,938,22,14,6
7297,Alp Overseas,3.6,146,663,6,,9
7298,Kirloskar Ebara Pumps,3.7,146,723,5,8,4
7299,Planit Testing India,3.3,146,1.1k,18,22,12
7300,LeapScholar,3.5,146,455,41,,5
7301,SRV Media,3.2,146,487,23,3,29
7302,BDG Metal & Power,4.0,146,414,21,,7
7303,India Pistons,2.8,146,716,9,,18
7304,Altigreen Propulsion Labs,3.4,146,749,12,,2
7305,Altruistic Technology Labs,3.4,146,688,7,,2
7306,Fedora Solutions,3.4,146,609,13,,11
7307,Neverskip,3.7,146,376,8,,13
7308,Intec Infra-Technologies,3.9,146,328,10,4,8
7309,Cresce Technology Private Limited,4.0,146,190,7,17,1
7310,Meghmani Group,3.4,146,551,4,,2
7311,Computer Generated Solutions,3.0,146,986,9,,10
7312,Apcotex Industries,3.6,146,833,8,,9
7313,JConnect Infotech,3.4,146,669,10,,6
7314,Million Minds Management Services,3.5,146,511,5,,9
7315,Capital Finserve,4.7,146,55,7,8,56
7316,SoftTech Engineers Limited,3.3,146,990,21,40,13
7317,Ayu Health Hospitals,3.4,146,623,8,1,5
7318,Bankai Infotech,3.2,146,838,14,6,18
7319,NetProphets Cyberworks,3.3,146,972,6,,11
7320,Infoblox,3.8,146,1.3k,21,50,13
7321,NPCC Engineering,3.6,146,621,14,,14
7322,Isha Foundation,4.1,146,634,11,37,12
7323,CARS24 Financial Services,3.4,146,515,8,,5
7324,Nium,3.4,146,1.2k,9,29,14
7325,RxLogix Corporation,2.2,146,1.1k,23,,11
7326,Klassic Wheels,2.7,146,734,6,,9
7327,L&T Power Transmission & Distribution,4.3,146,139,4,,91
7328,Krishna Buildestates,3.7,147,478,4,,8
7329,Kanerika Software,4.3,146,464,7,43,2
7330,Kirtane & Pandit,3.6,146,634,8,9,12
7331,Rajasthan Aushdhalaya,3.6,147,201,41,1,5
7332,Fair Exports,3.3,146,795,11,1,6
7333,NimbusPost,3.2,146,628,8,2,15
7334,Dr D Y Patil Medical College,4.1,146,629,4,,5
7335,PMI Electro Mobility Solutions,3.8,147,576,12,,3
7336,Nido Machineries,3.7,146,558,15,12,15
7337,Si Creva Capital Services,3.6,146,285,7,,2
7338,Solera,3.2,148,1.1k,15,52,8
7339,Chemie Tech,3.4,145,525,4,,19
7340,Overnite Express,3.9,145,365,,,9
7341,DOGUS SOMA JV,4.2,145,523,9,,12
7342,Drake & Scull International PJSC,4.4,145,227,2,,25
7343,Banas Dairy,4.4,145,506,6,,10
7344,DLF Brands,3.9,145,464,5,,18
7345,Interra Information Technologies,3.1,145,755,9,1,8
7346,Allyis India,3.1,145,809,9,,6
7347,Liyaans Properties,4.7,145,60,5,2,5
7348,Creative Garments,3.9,145,585,6,1,13
7349,W3Softech India,4.1,145,764,4,6,8
7350,Multi Commodity Exchange of India,3.3,145,974,6,,11
7351,Hills Cement Company,3.1,145,560,13,5,5
7352,Aczet,3.2,145,539,8,2,45
7353,Oaknorth Bank,2.8,145,1.3k,8,31,10
7354,Arch Pharmalabs,3.9,145,647,5,,14
7355,Mehta Cad Cam Systems,3.9,145,630,10,18,10
7356,Faber Sindoori Management Services,3.6,145,482,4,,20
7357,FMI Automotive Components,4.2,145,552,10,,14
7358,Chemveda Life Sciences,3.9,145,529,15,8,3
7359,Spinco Biotech,3.6,145,570,10,2,10
7360,Vega Industries,4.0,145,476,2,,7
7361,Sohan Lal Commodity Management,3.9,145,465,3,4,12
7362,Sage Metals,3.7,146,721,10,,16
7363,NASDAQ,3.6,146,1.3k,24,47,18
7364,Jai Beverages,3.5,145,463,13,,5
7365,AECC Global,3.3,146,580,17,,10
7366,LimeRoad,2.5,145,915,10,1,5
7367,Axis Securities and Sales,3.7,145,738,13,,6
7368,AstroTalk,3.3,145,488,24,1,3
7369,Nirmal Industrial Controls,3.7,146,747,17,40,10
7370,Liebherr,3.9,145,628,19,,13
7371,Academor,2.6,145,147,47,,2
7372,The Calcutta Medical Research Institute,3.9,145,424,8,3,11
7373,KLM Laboratories,3.7,148,601,8,2,6
7374,Niveus Solutions (Part of NTT Data),3.6,145,1.2k,19,15,3
7375,Raj Industries,3.7,145,656,9,1,4
7376,Virtusa Software Services,3.3,145,1.5k,39,,16
7377,Pramati Technologies,4.4,144,1.2k,9,,23
7378,Nesma Trading,4.2,144,231,14,,28
7379,Aero Club-Woodland Store,3.2,144,363,4,,2
7380,MPPTCL,3.9,144,385,7,,7
7381,AVIZVA,2.3,144,883,20,4,4
7382,Syniverse Technologies,3.7,144,1k,7,7,15
7383,Lester Infoservices,3.4,144,520,13,24,19
7384,Impact Analytics,3.6,144,1.2k,59,29,6
7385,J&F,3.5,144,424,30,,66
7386,Helo.ai by VivaConnect,4.2,144,453,7,6,7
7387,Sportz Interactive,3.0,144,1k,12,42,9
7388,Ncr Eduservices,3.1,144,488,23,40,17
7389,Deepak Novochem Technologies,4.0,144,803,11,2,10
7390,"Apollo Gleneagles Hospitals, Kolkata",4.0,145,373,1,,18
7391,John Energy,4.0,144,561,7,1,15
7392,Uttam Strips,3.4,144,662,12,2,4
7393,K.R.Mangalam World School,4.2,145,450,12,2,4
7394,Louis Dreyfus Company,4.0,144,372,6,,
7395,Ritco Logistics,3.6,144,495,9,6,2
7396,Zuno General Insurance,4.1,145,307,14,,2
7397,Pasa Resources,3.5,144,433,15,,4
7398,B5 Plus,3.3,145,434,22,,21
7399,Qualtech Consultants,3.5,144,617,15,18,10
7400,Jasper Industries,4.2,144,509,8,1,13
7401,Paras Spices,3.9,144,667,11,3,9
7402,Girl Power Talk,4.7,144,44,4,5,4
7403,Element14,3.7,144,912,17,,8
7404,Suntara Cosmetics,3.8,144,662,13,12,19
7405,PolicyX.com,2.9,144,592,11,4,14
7406,Demech Chemical Products,4.5,145,342,50,3,9
7407,PGIMER,4.2,144,469,3,,6
7408,SunTec Business Solutions,3.0,144,1.1k,7,1,12
7409,CBNITS,3.8,144,569,12,24,51
7410,Vipul Motors,3.6,144,547,,,8
7411,Bombay Hospital,3.4,144,442,8,5,10
7412,Elektrobit India,4.0,145,897,17,,9
7413,Euronics Industries,3.7,144,725,16,,6
7414,Ford Motor Credit Company,4.1,144,719,8,,26
7415,Vizza Insurance Broking Services,3.2,144,457,14,12,6
7416,Amps Electrical Facility Services,3.2,144,530,5,1,14
7417,Hansa Cequity,3.1,144,817,9,11,8
7418,Foiwe Info Global Solution,4.4,144,725,9,8,11
7419,Akasa Air,3.3,146,870,15,9,1
7420,Brindavan Beverages,3.8,144,562,5,3,10
7421,Space Matrix Design Consultants,3.5,144,665,6,16,12
7422,Ncr Eduservices,3.1,144,488,23,40,17
7423,Deepak Novochem Technologies,4.0,144,803,11,2,10
7424,"Apollo Gleneagles Hospitals, Kolkata",4.0,145,373,1,,18
7425,Haldiram Bhujiawala,3.1,144,467,9,,7
7426,Ogilvy,3.5,144,1.1k,10,,15
7427,Exicom Tele Systems,4.2,144,407,12,,19
7428,Patil Automation,3.3,144,848,8,4,11
7429,Kotak Mahindra Asset Management Company,4.0,144,893,10,7,10
7430,John Energy,4.0,144,561,7,1,15
7431,Uttam Strips,3.4,144,662,12,2,4
7432,DRYCHEM SOLUTIONS,4.0,144,552,6,,2
7433,KEM Hospital,3.7,144,522,7,29,13
7434,Scymes Services,3.5,145,503,7,9,36
7435,Brand Factory,4.6,144,457,4,,17
7436,F5 Networks,3.2,144,1.5k,25,81,12
7437,Mtg Learning Media,3.8,144,519,12,5,6
7438,Puma Energy,3.0,145,709,10,3,2
7439,Ewac Alloys,4.1,144,620,16,3,22
7440,Damro Furniture,3.6,144,485,10,,3
7441,Zacks Research,2.8,144,499,13,,16
7442,Namra Finance,3.9,144,408,10,,6
7443,Asclepius Wellness,3.7,144,489,14,5,3
7444,ITC Group,3.8,143,707,2,,15
7445,Saudi Oger,4.4,143,148,5,,31
7446,Deendayal Antyodaya Yojana-National Rural Livelihoods Mission,4.0,143,287,5,,5
7447,Indian School Finance Company,4.6,143,536,1,,19
7448,Dealmoney Securities,3.0,143,583,6,1,9
7449,Nayati Hospital,3.3,143,538,,,21
7450,Sri Ramachandra University,4.4,143,512,3,,17
7451,Ki Mobility Solution,3.3,143,600,7,,2
7452,Amazon Pay,4.0,143,559,16,,11
7453,Bhilai Iron And Steel Processing Company,3.8,143,554,4,,13
7454,Axis Mutual Fund,3.7,143,787,10,,9
7455,Astute Corporate Services,3.1,143,534,4,2,6
7456,Dantal Hydraulics,4.3,143,620,4,,9
7457,Samvardhana Motherson Auto Component,3.9,143,701,9,,7
7458,Stanadyne India,4.0,143,767,8,,13
7459,Pearl Beverages,3.3,143,519,11,2,10
7460,Airtel Business,3.7,143,836,26,,17
7461,Shipping Corporation of India,4.3,143,579,5,,15
7462,Rolls-Royce,3.8,143,969,33,48,16
7463,DigiLantern,3.7,143,270,8,34,3
7464,Maven Silicon,4.1,143,328,17,4,6
7465,COMSTAR AUTOMOTIVE TECHNOLOGIES,3.6,143,793,8,,29
7466,Government of Delhi,4.5,143,664,7,,1
7467,Drytech Processes (I),3.8,143,680,12,1,8
7468,Tcil,3.8,143,457,18,,5
7469,Mcpi,4.2,143,571,11,,12
7470,Alice Blue Commodities,3.2,143,739,10,13,10
7471,Amec Foster Wheeler,3.9,143,328,7,,23
7472,NewAge Software & Solutions,3.7,143,1.1k,4,19,14
7473,Montage Enterprises,3.1,143,556,6,,13
7474,Donaldson India Filter Systems,3.9,143,698,6,6,8
7475,Evertogen Life Sciences,3.6,143,424,12,4,20
7476,Amrit Bottlers,4.1,143,486,6,1,13
7477,VFS Capital,3.7,143,273,5,,2
7478,Alniche Life Sciences,3.8,143,352,5,,12
7479,New India Co-Op Bank,3.1,143,622,6,,6
7480,Icomm Tele,4.1,143,571,6,,14
7481,Kutch Copper,3.7,147,495,7,,1
7482,Being human,4.2,143,451,9,,9
7483,GKN Sinter Metals,3.9,143,583,10,,14
7484,Pixon Energy,4.1,143,504,14,,33
7485,JL Morison India,4.5,143,334,8,4,6
7486,Yashoda Super Speciality Hospitals,3.8,143,659,7,,3
7487,WWICS Group,3.3,143,414,12,,4
7488,Khatib & Alami,3.4,143,687,11,8,11
7489,STJ Electronics,3.6,143,704,13,4,9
7490,Newtronic Lifecare Equipment,4.0,143,519,8,13,13
7491,Meenakshi Mission Hospital & Research Centre,4.1,143,566,9,,13
7492,Digital Aptech,4.4,143,386,6,20,7
7493,Rabindranath Tagore International Institute of Cardiac Sciences,3.9,143,378,2,,14
7494,Fourth Partner Energy,4.3,143,646,10,1,12
7495,Magnum Group,3.2,143,610,7,,6
7496,Enfusion,3.3,143,987,19,,8
7497,GIRDHARI LAL CONSTRUCTIONS,3.9,143,441,12,2,2
7498,Orange Health Labs,3.9,145,482,10,,1
7499,Uno Minda Kyoraku,3.9,142,542,10,,16
7500,Vee Gee Auto Components,3.9,142,597,7,,5
7501,K2k Infrastructure,4.1,142,421,7,,13
7502,Shiksha Financial Services India,4.4,142,505,8,4,15
7503,Eptisa,3.5,142,422,7,,22
7504,Indus Cosmeceuticals,4.4,142,187,5,,3
7505,YFC PROJECTS,3.6,142,554,7,,7
7506,Reliance Group,4.2,142,604,20,,7
7507,ATS ELGI,4.2,142,499,6,,19
7508,Alcove Realty,4.0,144,436,11,,2
7509,NIS Management Private,3.7,142,444,3,,13
7510,Lycatel BPO,2.6,142,641,1,4,21
7511,Market Research Future Reports,3.4,142,395,8,,14
7512,SKS Ispat & Power,3.3,142,523,3,4,7
7513,Xcaliber Infotech,3.2,142,1.1k,18,,5
7514,Bausch & Lomb,3.7,142,570,3,,13
7515,Shri Kshetra Dharmasthala Rural Development Project,3.9,142,321,4,,5
7516,Privat Hospital,4.0,142,1.7k,8,,13
7517,Synamedia,3.3,142,1.1k,17,4,8
7518,MGM Medical College & Hospital,3.9,142,561,5,,10
7519,B New Mobiles,3.2,142,550,9,8,15
7520,Volvo Construction Equipment,4.2,142,639,8,,12
7521,BCITS,3.7,142,668,14,4,7
7522,GTT Communications,3.4,142,960,13,6,14
7523,OptiSol Business Solutions,3.8,142,956,18,16,18
7524,Kamlesh Kumar Singh Engineers,4.4,142,424,5,,11
7525,myTVS Parts & Accessories,3.9,142,413,7,,3
7526,Indovision Services,3.4,142,707,15,14,8
7527,Sensiple,2.9,143,1.3k,8,7,9
7528,HTIC Global,3.4,142,535,9,57,19
7529,iQuanti,3.0,143,1.1k,18,10,13
7530,GMP Technical Solutions,3.9,142,645,4,,6
7531,Echelon Institute of Technology,4.3,143,145,41,,1
7532,Teliolabs,3.8,143,329,16,37,23
7533,Thoucentric,3.9,142,1.4k,16,110,9
7534,Sarvatra Technologies,4.2,142,1.1k,16,9,8
7535,Jamia Hamdard University,3.9,142,408,3,,15
7536,Anaptyss,3.0,142,532,14,1,4
7537,Naiknavare Developers,3.7,142,542,7,36,14
7538,MAHLE Engine Components,3.8,142,729,14,,13
7539,Kenvue,3.6,142,900,4,,1
7540,HTIC Global,3.4,142,535,9,57,19
7541,Jamia Hamdard University,3.9,142,408,3,,15
7542,Aptia,2.8,143,595,7,8,1
7543,Vehant Technologies,3.9,142,761,12,41,12
7544,Sonyo Management Consultants,4.5,142,352,32,,1
7545,IREP Credit Capital,4.1,142,483,7,7,10
7546,Horizontal Integration,3.6,142,886,14,1,4
7547,Loyal Textile Mills,3.6,142,676,12,2,11
7548,Sarla Advantech,4.0,142,1k,10,15,12
7549,yellow.ai,3.0,142,1.4k,18,6,10
7550,Sun King,4.0,142,471,8,2,25
7551,Community Health Center,4.3,142,426,5,,2
7552,Equentis Wealth Advisory Services,3.2,142,586,16,41,8
7553,Arundhati Jewellers,3.8,142,291,8,3,63
7554,Specsmakers Opticians,3.7,142,621,11,8,5
7555,Cooper-Standard Automotive,4.1,141,696,1,,13
7556,Shyplite,3.8,141,290,7,,100
7557,Hitachi Automotive Systems,4.2,142,672,4,,19
7558,Trell,3.0,141,848,14,,16
7559,Antraweb Technologies,3.8,142,400,10,7,16
7560,Cooper-Standard Automotive,4.1,141,696,1,,13
7561,Hitachi Automotive Systems,4.2,142,672,4,,19
7562,Trell,3.0,141,848,14,,16
7563,Antraweb Technologies,3.8,142,400,10,7,16
7564,Archidply Industries,3.5,141,420,3,4,13
7565,Core Diagnostics,3.9,141,535,5,,15
7566,Hilton Garden Inn,3.8,141,408,7,,17
7567,Futran Solutions,3.8,141,403,16,25,13
7568,Rus Education,4.4,141,285,19,2,2
7569,iSource,3.0,141,580,10,1,6
7570,Gsp Power Projects,3.9,141,492,7,,5
7571,Factspan,3.3,141,730,23,8,2
7572,The Hackett Group,3.4,141,967,11,38,9
7573,Sourcefuse Technologies,3.1,141,1.1k,20,6,11
7574,JQR SPORTS,4.1,141,245,37,,1
7575,Nucsoft,2.7,141,665,14,3,7
7576,Drums Food International,4.6,141,533,8,3,12
7577,NCDEX,3.4,141,915,7,41,15
7578,Sidwal Refrigeration Industries,4.2,142,590,11,,13
7579,Smart Call Center Solutions,3.3,141,312,22,7,14
7580,Mistral Solutions,3.5,141,1k,13,21,15
7581,SmartED Innovations,4.1,141,38,55,,
7582,SysArc Infomatix,3.4,141,972,14,3,12
7583,Delux Bearings,4.2,141,608,4,,15
7584,Bdh Industries,4.8,141,316,3,21,11
7585,Futures First info Services,3.5,141,957,94,,16
7586,Gujarat State Petronet,4.0,141,629,7,,11
7587,SurePrep,4.0,141,791,12,,13
7588,Flyweis Technology,4.4,141,66,5,,1
7589,EMB Global,4.5,141,416,16,,2
7590,thinkbridge,3.5,141,707,22,5,25
7591,Apicore Pharmaceuticals,3.7,141,611,6,,17
7592,PharmaZell,4.3,141,629,10,2,14
7593,Hyundai Steel,3.8,141,751,12,1,16
7594,98thPercentile,4.0,141,297,17,,19
7595,Isprava,3.3,141,624,11,10,2
7596,Unipath Specialty Laboratory,3.9,141,602,12,,6
7597,Shivalik Rasayan,3.5,141,525,11,2,7
7598,Sun Flag Steel,3.5,141,589,7,,2
7599,Velammal Educational Trust,3.6,141,638,12,12,9
7600,Velammal Educational Trust,3.6,141,638,12,12,9
7601,Kearney,3.1,142,1.4k,26,5,8
7602,Sony Pictures Networks,3.6,141,852,7,,2
7603,Shivalik Rasayan,3.5,141,525,11,2,7
7604,Sun Flag Steel,3.5,141,589,7,,2
7605,Dr L H Hiranandani Hospital,3.8,141,495,5,6,17
7606,First Step Babywear,4.1,142,679,5,,12
7607,Fulcrum Worldwide Software,4.4,141,900,9,10,17
7608,Shobhit Mediworld,4.0,141,317,19,4,6
7609,Serdia Pharmaceuticals,3.6,140,382,6,,18
7610,Cypherox Technologies Pvt. Ltd.,4.8,140,73,60,1,1
7611,Proziod Analytics,3.5,140,369,5,32,23
7612,AIDA Cruises,3.5,141,205,7,,14
7613,ResearchAyu,4.4,140,27,16,,1
7614,Automotive Research Association of India,4.0,140,812,5,3,14
7615,Portescap,3.8,140,787,14,,19
7616,IFortis Worldwide,3.8,140,97,29,7,13
7617,Light & Wonder,4.0,140,2.8k,33,5,39
7618,Galderma,3.4,140,446,2,43,11
7619,Techno Exponent,3.6,140,466,32,,8
7620,Bando India,4.1,140,529,5,,18
7621,Karnataka Power Transmission Corporation,4.3,140,450,6,,5
7622,Gujarat Energy Transmission Corporation,4.1,140,347,,,7
7623,Indivillage Tech Solutions,3.7,141,551,14,,6
7624,KHD Humboldt Wedag,4.3,140,699,7,,14
7625,Proventech,3.9,140,318,8,29,2
7626,ECE Industries,3.6,140,566,4,3,12
7627,Lrs Services,3.3,140,765,11,4,4
7628,Kamdhenu Paints,3.0,140,433,9,,5
7629,Unicorn DenMart,4.1,140,506,25,12,8
7630,Avon Cycles,4.0,141,487,18,9,10
7631,INDOASIAN,4.1,140,424,11,6,17
7632,Lotus Wireless Technologies,3.0,140,690,17,,6
7633,Veeraraghavan & Company,3.1,141,395,6,1,4
7634,Galderma,3.4,140,446,2,43,11
7635,Head Digital Works,4.1,140,1k,21,,8
7636,Light & Wonder,4.0,140,2.8k,33,5,39
7637,Ascent Meditech,3.4,140,610,9,2,3
7638,IFortis Worldwide,3.8,140,97,29,7,13
7639,First Solar,3.9,140,618,13,6,4
7640,Lotus Wireless Technologies,3.0,140,690,17,,6
7641,Veeraraghavan & Company,3.1,141,395,6,1,4
7642,Bando India,4.1,140,529,5,,18
7643,Karnataka Power Transmission Corporation,4.3,140,450,6,,5
7644,Gujarat Energy Transmission Corporation,4.1,140,347,,,7
7645,Orion Security Solutions,2.9,140,601,5,2,18
7646,First Solar,3.9,140,618,13,6,4
7647,Kaseya Software,3.3,140,1.3k,15,25,7
7648,CapGrid Solutions,4.1,140,268,23,,1
7649,AL-SUWAIDI INDUSTRIAL SERVICES,3.5,140,254,8,,19
7650,Ambience Group,3.6,140,530,18,10,3
7651,Frontier Business Systems,3.3,140,873,12,15,11
7652,Hindustan Colas,3.4,140,568,12,1,13
7653,The Dollar Business,2.8,140,655,11,18,4
7654,IMMCO,3.1,140,820,13,1,10
7655,Abu Dhabi Commercial Bank,3.4,140,625,6,,9
7656,G7 CR Technologies,3.0,140,586,17,4,9
7657,Mobineers Info Systems,4.2,140,381,13,6,11
7658,Ocl Iron & Steel,3.6,140,437,16,,2
7659,SHRI LAKSHMI STEEL SUPPLIERS,4.1,140,466,9,16,13
7660,IPG Mediabrands,3.3,140,1.3k,28,5,1
7661,Printo Document Services,3.7,140,613,12,13,7
7662,SHRI LAKSHMI STEEL SUPPLIERS,4.1,140,466,9,16,13
7663,Disposafe Health And Life Care,3.1,140,621,10,4,7
7664,Bambino Pasta Food Industries,4.0,140,600,7,,3
7665,Aditya Birla Chemicals,3.9,139,562,14,,9
7666,XSEED Education,2.9,139,506,6,,18
7667,INDIAN DESIGNS,3.9,139,498,4,,9
7668,Advance Career Solutions,4.1,139,102,40,,2
7669,DRN Infrastructure,3.2,139,509,6,11,16
7670,ChicMic,4.3,139,278,11,24,19
7671,IBM Consulting,3.8,139,1.8k,39,,8
7672,Saint-Gobain Abrasives,3.5,139,722,5,,9
7673,Weir Minerals,4.0,139,690,15,17,18
7674,Lokmanya Multipurpose Co-op Society,3.0,139,594,6,2,5
7675,Geo Designs And Research,3.6,139,612,3,16,5
7676,GoBoult,3.8,139,429,24,16,5
7677,Wysetek Systems Technologists,3.8,139,738,10,31,13
7678,Shahnaz Husain Group Of Companies,3.1,139,379,18,15,14
7679,Maintec Technologies,3.7,139,857,10,1,10
7680,Madhavbaug,3.8,139,369,3,2,6
7681,SembCorp,4.0,139,634,8,,7
7682,Piramal Group,4.0,139,2k,33,,99
7683,Aditya Birla Chemicals,3.9,139,562,14,,9
7684,ChicMic,4.3,139,278,11,24,19
7685,Glocal Healthcare Systems,3.5,140,400,5,,15
7686,Rapidtech,3.5,139,441,6,2,5
7687,ASA & Associates,3.4,139,835,14,,11
7688,Spinks Softech,4.1,139,580,5,,8
7689,BASIX Academy for Building Lifelong Employability,3.9,139,219,8,2,7
7690,ENTRI SOFTWARE,3.9,139,611,11,8,1
7691,IBM Consulting,3.8,139,1.8k,39,,8
7692,Shahnaz Husain Group Of Companies,3.1,139,379,18,15,14
7693,Maintec Technologies,3.7,139,857,10,1,10
7694,MRL Tyres,3.5,139,649,6,,8
7695,builder.ai,2.8,140,957,13,,2
7696,Royal HaskoningDHV,4.4,139,426,3,18,15
7697,Advance Auto Parts,3.4,139,1.1k,11,,20
7698,ApplyBoard,2.5,140,579,10,20,2
7699,Weir Minerals,4.0,139,690,15,17,18
7700,Shri Ram Finance Corporation,2.9,142,449,16,9,1
7701,Polestar Consulting,4.2,139,304,12,6,2
7702,Pacific Global Solutions,3.2,139,671,9,9,2
7703,IVL Dhunseri Petrochem Industries,3.8,139,478,5,,8
7704,Nitika Pharmaceutical Specialities,3.9,139,488,16,13,2
7705,HealthAssure,3.4,139,607,7,1,6
7706,Rotork Controls,3.3,139,688,14,14,12
7707,ASSET DEALS,4.7,139,104,22,,6
7708,Vantive,4.6,139,196,64,34,2
7709,Mold Tek Packaging,3.6,139,635,6,,7
7710,Behr Hella Thermocontrol,4.1,139,767,7,6,7
7711,Vasavi Group,4.0,139,760,8,,3
7712,Techavera Solutions,4.2,138,103,2,,20
7713,Madras Medical Mission,4.3,138,463,5,11,12
7714,Multani Pharmaceuticals,4.1,138,442,13,,7
7715,Technofab Engineering,4.1,138,444,2,,22
7716,Future Market Insights,1.6,138,541,11,1,13
7717,CommVault,3.6,138,1.3k,29,,12
7718,Unicommerce Esolutions,2.8,138,911,22,2,12
7719,PhableCare,2.7,138,821,9,,4
7720,Multani Pharmaceuticals,4.1,138,442,13,,7
7721,UNI Klinger,3.8,138,599,14,,19
7722,Indian Institute of Management,3.8,138,1k,3,,5
7723,Christ University,3.0,138,592,14,,11
7724,Sterling Manufacturing Company,3.9,138,76,7,,4
7725,Aster Medcity,4.5,138,511,7,1.3k,16
7726,Borosil Renewables,3.8,138,567,7,,2
7727,Sirca Paints India,4.1,138,494,11,,11
7728,Counsel India,3.5,138,277,12,9,1
7729,Machino Polymers,3.3,139,565,13,,3
7730,CoinDCX,4.0,138,1.1k,33,67,11
7731,Alliance Group,3.9,138,871,14,6,7
7732,Meena Bazaar,3.6,138,669,7,5,7
7733,CommVault,3.6,138,1.3k,29,,12
7734,Future Market Insights,1.6,138,541,11,1,13
7735,Shreeji Infrastructure,3.8,138,394,9,4,5
7736,REC Power Development and Consultancy,4.1,138,391,7,,1
7737,Haqdarshak Empowerment Solutions,3.8,138,356,15,2,8
7738,THERMAL SYSTEMS,4.0,138,595,12,6,11
7739,Trident Automobiles,4.6,138,512,2,1,18
7740,Cronus Pharma Specialities India,3.6,138,656,3,1,9
7741,Harley-Davidson,3.8,138,478,6,,24
7742,Eskag Pharma,3.3,138,472,7,,10
7743,Meena Bazaar,3.6,138,669,7,5,7
7744,Airef Engineers,3.9,138,471,8,2,6
7745,Affiliated Computer Services,3.6,138,410,1,,14
7746,Sterling Manufacturing Company,3.9,138,76,7,,4
7747,Machino Polymers,3.3,139,565,13,,3
7748,CoinDCX,4.0,138,1.1k,33,67,11
7749,Alliance Group,3.9,138,871,14,6,7
7750,Counsel India,3.5,138,277,12,9,1
7751,Lupin Diagnostics,4.1,138,440,13,4,1
7752,MRI Software,3.3,138,845,21,13,4
7753,Jash Engineering,4.0,138,694,12,1,8
7754,Tanla Platforms,3.1,138,1.2k,13,57,6
7755,LUCKY MINERALS,3.7,138,462,9,,10
7756,Rural Electrification Corporation,3.6,138,406,6,,12
7757,Christ University,3.0,138,592,14,,11
7758,Sirca Paints India,4.1,138,494,11,,11
7759,Rina India,3.8,138,521,10,,13
7760,PubMatic,3.5,138,1.2k,33,15,25
7761,Affiliated Computer Services,3.6,138,410,1,,14
7762,Kabra Extrusion Technik,3.5,138,723,12,3,14
7763,Badri Rai and Company,4.0,138,444,14,11,3
7764,CBTS TECHNOLOGY SOLUTIONS INDIA LLP,3.9,138,1.2k,22,94,9
7765,Modern Insulators,3.9,138,553,5,2,13
7766,Preet Group,3.8,137,566,18,,6
7767,Sical Logistics,4.0,137,627,1,,16
7768,Link Intime,3.5,137,668,10,,10
7769,Napier Healthcare Solutions,2.4,137,824,14,,13
7770,New Swan Enterprises,3.8,137,442,12,1,10
7771,DigiVersal Consultants,2.4,137,361,10,27,26
7772,Government of Odisha,4.1,137,590,10,,6
7773,SDP & Associates (Office),3.4,137,260,28,1,18
7774,Lokal App,3.5,137,555,17,8,28
7775,7 Eleven,3.4,137,1.1k,27,,7
7776,Ascend Telecom Infrastructure,4.2,137,395,4,,12
7777,Futuresoft Solutions,3.2,137,812,9,2,20
7778,M Tech Innovations,3.2,137,599,10,7,10
7779,Crane Consulting and Outsourcing,4.1,137,869,15,,3
7780,Codilar Technologies,4.1,137,583,25,38,1
7781,Nikhil Adhesives,3.9,137,431,8,1,5
7782,Beekay Steel Industries,3.0,137,531,10,28,5
7783,Baxter Pharmaceuticals,4.3,137,199,9,,2
7784,Zimetrics Technologies,3.7,137,883,7,8,105
7785,Birla Century,4.1,138,613,6,,7
7786,ESSPL,4.0,137,783,5,,17
7787,IIT Kanpur,4.0,137,550,12,7,19
7788,MeritTrac,3.7,137,528,1,,15
7789,Flemingo Duty Free Shop,4.1,137,521,2,,13
7790,Q Tech Microelectronics India,3.8,137,528,9,2,9
7791,Valdel Engineers & Constructors,2.7,137,643,9,,7
7792,Ntrust Infotech,3.3,137,787,11,,15
7793,Molbio Diagnostics,3.8,137,690,12,,4
7794,Aditya Birla SunLife Asset Management Company,3.7,138,629,15,,15
7795,UTI Technology Services,3.3,137,540,3,,8
7796,Naaraayani Sons,3.0,137,413,10,1,6
7797,Fipola Retail,3.7,137,305,2,,63
7798,Bharuch Enviro Infrastructure,4.1,137,601,5,,1
7799,illumifin,3.2,137,535,4,,1
7800,Crane Consulting and Outsourcing,4.1,137,869,15,,3
7801,Komatsu,3.8,137,695,6,8,14
7802,Delhi Integrated Multi Modal Transit System,3.6,137,541,7,1,10
7803,Victoria's Secret,3.9,137,1k,16,,7
7804,ESSPL,4.0,137,783,5,,17
7805,Birla Century,4.1,138,613,6,,7
7806,Actis Technologies,4.2,137,540,8,4,14
7807,Surya Hospital,3.7,137,582,9,30,8
7808,Beekay Steel Industries,3.0,137,531,10,28,5
7809,M Tech Innovations,3.2,137,599,10,7,10
7810,Futuresoft Solutions,3.2,137,812,9,2,20
7811,Accountant Anywhere Services,4.2,137,1.1k,12,,20
7812,Yeshshree Press Comps,3.5,137,655,7,,9
7813,Novopay Solutions,2.8,137,731,16,4,17
7814,SOGEFI,3.3,137,677,13,,9
7815,Etraveli Group,2.8,137,699,13,12,2
7816,Gapbridge Software Services,3.2,138,413,4,,31
7817,Yanfeng Automotive Interiors,3.9,138,639,9,5,14
